All Order,Order per task,Code snippet,Participant,Task,Participant/Task,Task Duration,Understand,Correntness,Level of investment,Rough Direction,Statement Selection,Code Interaction,"Level of investment, Rough Direction","Level of investment, Statement Selection","Level of investment, Code Interaction","Rough Direction, Statement Selection","Rough Direction, Code Interaction","Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection","Level of investment, Rough Direction, Code Interaction","Level of investment, Statement Selection, Code Interaction","Rough Direction, Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection, Code Interaction",Time,Start,Stop,Block Duration,%(Block Duration),Intent
16,8,Rectangle,106,2,106/2,95,0.5,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",78-110,78,110,32,0.3368421053,Validate the hypothesis of PA
17,1,Insertion Sort,103,2,103/2,207,0.5,0,Quick,Forward,Linear,Intra procedure,"Quick, Forward","Quick, Linear","Quick, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Quick, Forward, Linear","Quick, Forward, Intra procedure","Quick, Linear, Intra procedure","Forward, Linear, Intra procedure","Quick, Forward, Linear, Intra procedure",0-3,0,3,3,0.01449275362,Get the understanding of a part of code block
18,2,Insertion Sort,103,2,103/2,207,0.5,0,Medium,Forward,Linear,Intra procedure,"Medium, Forward","Medium, Linear","Medium, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Medium, Forward, Linear","Medium, Forward, Intra procedure","Medium, Linear, Intra procedure","Forward, Linear, Intra procedure","Medium, Forward, Linear, Intra procedure",3-29,3,29,26,0.1256038647,Get the understanding of a part of code block
19,3,Insertion Sort,103,2,103/2,207,0.5,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",29-80,29,80,51,0.2463768116,Get the understanding of a part of code block
20,4,Insertion Sort,103,2,103/2,207,0.5,0,Medium,Backward,Dynamic,Inter procedure,"Medium, Backward","Medium, Dynamic","Medium, Inter procedure","Backward, Dynamic","Backward, Inter procedure","Dynamic, Inter procedure","Medium, Backward, Dynamic","Medium, Backward, Inter procedure","Medium, Dynamic, Inter procedure","Backward, Dynamic, Inter procedure","Medium, Backward, Dynamic, Inter procedure",80-95,80,95,15,0.07246376812,Understand the method call progression
21,5,Insertion Sort,103,2,103/2,207,0.5,0,Indepth,Back and forth,Dynamic,Inter procedure,"Indepth, Back and forth","Indepth, Dynamic","Indepth, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Indepth, Back and forth, Dynamic","Indepth, Back and forth, Inter procedure","Indepth, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Indepth, Back and forth, Dynamic, Inter procedure",95-207,95,207,112,0.5410628019,Get the deeper understanding of the code
24,1,Number HRN,53,2,53/2,415,1,1,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,0-144,0,144,144,0.3469879518,Get the understanding of a part of code block
25,2,Number HRN,53,2,53/2,415,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,144-170,144,170,26,0.06265060241,Get the understanding of a part of code block
26,3,Number HRN,53,2,53/2,415,1,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,168-250,168,250,82,0.1975903614,Get the understanding of a part of code block
27,4,Number HRN,53,2,53/2,415,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,250-285,250,285,35,0.0843373494,Get the deeper understanding of the code
28,5,Number HRN,53,2,53/2,415,1,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,285-290,285,290,5,0.01204819277,Get the understanding of a part of code block
29,6,Number HRN,53,2,53/2,415,1,1,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,290-305,290,305,15,0.03614457831,Get the understanding of a part of code block
30,7,Number HRN,53,2,53/2,415,1,1,Quick,Backward,Linear,,"Quick, Backward","Quick, Linear",,"Backward, Linear",,,"Quick, Backward, Linear",,,,,305-315,305,315,10,0.02409638554,Get a quick overview of the code
31,8,Number HRN,53,2,53/2,415,1,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,315-355,315,355,40,0.09638554217,Get the understanding of a part of code block
32,9,Number HRN,53,2,53/2,415,1,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,355-395,355,395,40,0.09638554217,Get the understanding of a part of code block
33,10,Number HRN,53,2,53/2,415,1,1,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,395-415,395,415,20,0.04819277108,Formulate a hypothesis of the problematic area (PA)
34,1,Calculation,84,2,84/2,86,1,1,Indepth,Back and forth,Dynamic,Inter procedure,"Indepth, Back and forth","Indepth, Dynamic","Indepth, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Indepth, Back and forth, Dynamic","Indepth, Back and forth, Inter procedure","Indepth, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Indepth, Back and forth, Dynamic, Inter procedure",0-12,0,12,12,0.1395348837,Understand the method call progression
35,2,Calculation,84,2,84/2,86,1,1,Indepth,Forward,Dynamic,Intra procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Indepth, Forward, Dynamic","Indepth, Forward, Intra procedure","Indepth, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Indepth, Forward, Dynamic, Intra procedure",12-20,12,20,8,0.09302325581,Get the understanding of a part of code block
36,3,Calculation,84,2,84/2,86,1,1,Indepth,Forward,Dynamic,Inter procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Indepth, Forward, Dynamic","Indepth, Forward, Inter procedure","Indepth, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Indepth, Forward, Dynamic, Inter procedure",20-43,20,43,23,0.2674418605,Get the understanding of a part of code block
37,4,Calculation,84,2,84/2,86,1,1,Indepth,Back and forth,Dynamic,Inter procedure,"Indepth, Back and forth","Indepth, Dynamic","Indepth, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Indepth, Back and forth, Dynamic","Indepth, Back and forth, Inter procedure","Indepth, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Indepth, Back and forth, Dynamic, Inter procedure",43-60,43,60,17,0.1976744186,Formulate a hypothesis of the problematic area (PA)
38,5,Calculation,84,2,84/2,86,1,1,Indepth,Forward,Dynamic,Inter procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Indepth, Forward, Dynamic","Indepth, Forward, Inter procedure","Indepth, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Indepth, Forward, Dynamic, Inter procedure",60-86,60,86,26,0.3023255814,Validate the hypothesis of PA
40,2,Graph Utils,78,2,78/2,440,1,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,55-133,55,133,78,0.1772727273,Get the deeper understanding of the code
41,3,Graph Utils,78,2,78/2,440,1,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,133-160,133,160,27,0.06136363636,Get the understanding of a part of code block
43,5,Graph Utils,78,2,78/2,440,1,0,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,175-240,175,240,65,0.1477272727,Get the understanding of a part of code block
46,8,Graph Utils,78,2,78/2,440,1,0,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,320-360,320,360,40,0.09090909091,Formulate a hypothesis of the problematic area (PA)
47,9,Graph Utils,78,2,78/2,440,1,0,Quick,Back and forth,Dynamic,,"Quick, Back and forth","Quick, Dynamic",,"Back and forth, Dynamic",,,"Quick, Back and forth, Dynamic",,,,,360-400,360,400,40,0.09090909091,Get a quick overview of the code
48,10,Graph Utils,78,2,78/2,440,1,0,Medium,Back and forth,Linear,,"Medium, Back and forth","Medium, Linear",,"Back and forth, Linear",,,"Medium, Back and forth, Linear",,,,,400-440,400,440,40,0.09090909091,Validate the hypothesis of PA
49,1,Money Class,101,2,101/2,42,1,1,Quick,Forward,Linear,,"Quick, Forward","Quick, Linear",,"Forward, Linear",,,"Quick, Forward, Linear",,,,,0-14,0,14,14,0.3333333333,Get a quick overview of the code
50,2,Money Class,101,2,101/2,42,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,14-24,14,24,10,0.2380952381,Get the understanding of a part of code block
51,3,Money Class,101,2,101/2,42,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,24-28,24,28,4,0.09523809524,Formulate a hypothesis of the problematic area (PA)
52,4,Money Class,101,2,101/2,42,1,1,Quick,Back and forth,Linear,,"Quick, Back and forth","Quick, Linear",,"Back and forth, Linear",,,"Quick, Back and forth, Linear",,,,,28-35,28,35,7,0.1666666667,Get a quick overview of the code
53,5,Money Class,101,2,101/2,42,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,35-53,35,53,18,0.4285714286,Validate the hypothesis of PA
54,1,Number Checker,104,2,104/2,100,1,1,Indepth,Back and forth,Dynamic,Intra procedure,"Indepth, Back and forth","Indepth, Dynamic","Indepth, Intra procedure","Back and forth, Dynamic","Back and forth, Intra procedure","Dynamic, Intra procedure","Indepth, Back and forth, Dynamic","Indepth, Back and forth, Intra procedure","Indepth, Dynamic, Intra procedure","Back and forth, Dynamic, Intra procedure","Indepth, Back and forth, Dynamic, Intra procedure",0-16,0,16,16,0.16,Get the understanding of a part of code block
55,2,Number Checker,104,2,104/2,100,1,1,Indepth,Forward,Dynamic,Inter procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Indepth, Forward, Dynamic","Indepth, Forward, Inter procedure","Indepth, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Indepth, Forward, Dynamic, Inter procedure",16-33,16,33,17,0.17,Get the understanding of a part of code block
56,3,Number Checker,104,2,104/2,100,1,1,Medium,Back and forth the order of denifition,Linear,Intra procedure,"Medium, Back and forth the order of denifition","Medium, Linear","Medium, Intra procedure","Back and forth the order of denifition, Linear","Back and forth the order of denifition, Intra procedure","Linear, Intra procedure","Medium, Back and forth the order of denifition, Linear","Medium, Back and forth the order of denifition, Intra procedure","Medium, Linear, Intra procedure","Back and forth the order of denifition, Linear, Intra procedure","Medium, Back and forth the order of denifition, Linear, Intra procedure",33-59,33,59,26,0.26,Get the understanding of a part of code block
57,4,Number Checker,104,2,104/2,100,1,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",59-88,59,88,29,0.29,Formulate a hypothesis of the problematic area (PA)
58,5,Number Checker,104,2,104/2,100,1,1,Indepth,Back and forth,Dynamic,Inter procedure,"Indepth, Back and forth","Indepth, Dynamic","Indepth, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Indepth, Back and forth, Dynamic","Indepth, Back and forth, Inter procedure","Indepth, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Indepth, Back and forth, Dynamic, Inter procedure",88-100,88,100,12,0.12,Validate the hypothesis of PA
60,2,Rectangle,97,3,97/3,255,1,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",3-48,3,48,45,0.1764705882,Understand the method call progression
61,3,Rectangle,97,3,97/3,255,1,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",48-80,48,80,32,0.1254901961,Get the understanding of a part of code block
62,4,Rectangle,97,3,97/3,255,1,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",80-125,80,125,45,0.1764705882,Get the understanding of a part of code block
63,5,Rectangle,97,3,97/3,255,1,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",125-167,125,167,42,0.1647058824,Get the deeper understanding of the code
64,6,Rectangle,97,3,97/3,255,1,0,Indepth,In the order of definition,Dynamic,Inter procedure,"Indepth, In the order of definition","Indepth, Dynamic","Indepth, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Indepth, In the order of definition, Dynamic","Indepth, In the order of definition, Inter procedure","Indepth, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Indepth, In the order of definition, Dynamic, Inter procedure",167-220,167,220,53,0.2078431373,Formulate a hypothesis of the problematic area (PA)
65,7,Rectangle,97,3,97/3,255,1,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",220-255,220,255,35,0.137254902,Validate the hypothesis of PA
66,1,Graph Utils,66,3,66/3,450,1,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,0-60,0,60,60,0.1333333333,Get the understanding of a part of code block
67,2,Graph Utils,66,3,66/3,450,1,1,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,60-73,60,73,13,0.02888888889,Get the understanding of a part of code block
68,3,Graph Utils,66,3,66/3,450,1,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,73-130,73,130,57,0.1266666667,Get the understanding of a part of code block
69,4,Graph Utils,66,3,66/3,450,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,130-222,130,222,92,0.2044444444,Get the understanding of a part of code block
70,5,Graph Utils,66,3,66/3,450,1,1,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,222-390,222,390,168,0.3733333333,Formulate a hypothesis of the problematic area (PA)
71,6,Graph Utils,66,3,66/3,450,1,1,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,390-450,390,450,60,0.1333333333,Get the understanding of a part of code block
73,2,Graph Utils,53,1,53/1,480,0.5,0,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,77-140,77,140,63,0.13125,Get the deeper understanding of the code
74,3,Graph Utils,53,1,53/1,480,0.5,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,140-228,140,228,88,0.1833333333,Get the deeper understanding of the code
78,7,Graph Utils,53,1,53/1,480,0.5,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,420-480,420,480,60,0.125,Get the deeper understanding of the code
79,1,Graph Utils,75,3,75/3,500,1,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,0-100,0,100,100,0.2,Get the deeper understanding of the code
81,3,Graph Utils,75,3,75/3,500,1,0,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,224-294,224,294,70,0.14,Get the deeper understanding of the code
85,7,Graph Utils,75,3,75/3,500,1,0,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,390-445,390,445,55,0.11,Get the deeper understanding of the code
87,9,Graph Utils,75,3,75/3,500,1,0,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,470-500,470,500,30,0.06,Get the understanding of a part of code block
89,2,Graph Utils,76,2,76/2,180,1,1,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,52-143,52,143,91,0.5055555556,Get the deeper understanding of the code
90,3,Graph Utils,76,2,76/2,180,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,143-180,143,180,37,0.2055555556,Get the deeper understanding of the code
98,3,Graph Utils,58,2,58/2,345,1,1,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,70-130,70,130,60,0.1739130435,Get the deeper understanding of the code
99,4,Graph Utils,58,2,58/2,345,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,130-170,130,170,40,0.115942029,Get the deeper understanding of the code
102,7,Graph Utils,58,2,58/2,345,1,1,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,190-230,190,230,40,0.115942029,Get the deeper understanding of the code
103,8,Graph Utils,58,2,58/2,345,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,230-285,230,285,55,0.1594202899,Get the understanding of a part of code block
104,9,Graph Utils,58,2,58/2,345,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,285-345,285,345,60,0.1739130435,Get the understanding of a part of code block
105,1,Calculation,86,4,86/4,311,0.25,0,Medium,In the order of definition,Linear,Intra procedure,"Medium, In the order of definition","Medium, Linear","Medium, Intra procedure","In the order of definition, Linear","In the order of definition, Intra procedure","Linear, Intra procedure","Medium, In the order of definition, Linear","Medium, In the order of definition, Intra procedure","Medium, Linear, Intra procedure","In the order of definition, Linear, Intra procedure","Medium, In the order of definition, Linear, Intra procedure",0-7,0,7,7,0.02250803859,Get the deeper understanding of the code
106,2,Calculation,86,4,86/4,311,0.25,0,Indepth,Forward,Linear,Inter procedure,"Indepth, Forward","Indepth, Linear","Indepth, Inter procedure","Forward, Linear","Forward, Inter procedure","Linear, Inter procedure","Indepth, Forward, Linear","Indepth, Forward, Inter procedure","Indepth, Linear, Inter procedure","Forward, Linear, Inter procedure","Indepth, Forward, Linear, Inter procedure",8-51,8,51,43,0.1382636656,Get the deeper understanding of the code
107,3,Calculation,86,4,86/4,311,0.25,0,Indepth,Back and forth,Dynamic,Inter procedure,"Indepth, Back and forth","Indepth, Dynamic","Indepth, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Indepth, Back and forth, Dynamic","Indepth, Back and forth, Inter procedure","Indepth, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Indepth, Back and forth, Dynamic, Inter procedure",51-71,51,71,20,0.06430868167,Get the understanding of a part of code block
108,4,Calculation,86,4,86/4,311,0.25,0,Medium,Forward,Linear,Inter procedure,"Medium, Forward","Medium, Linear","Medium, Inter procedure","Forward, Linear","Forward, Inter procedure","Linear, Inter procedure","Medium, Forward, Linear","Medium, Forward, Inter procedure","Medium, Linear, Inter procedure","Forward, Linear, Inter procedure","Medium, Forward, Linear, Inter procedure",71-195,71,195,124,0.3987138264,Get the deeper understanding of the code
